"","char","letter","x1","y1","x2","y2","space","sent","line","word","word_line","line_char","wordID","char_word"
"1",0,"A",600,151,610,209,NA,1,1,1,1,1,"Amundsen",1
"3",1,"m",610,151,620,209,NA,1,1,1,1,2,"Amundsen",2
"5",2,"u",620,151,630,209,NA,1,1,1,1,3,"Amundsen",3
"7",3,"n",630,151,640,209,NA,1,1,1,1,4,"Amundsen",4
"9",4,"d",640,151,650,209,NA,1,1,1,1,5,"Amundsen",5
"11",5,"s",650,151,660,209,NA,1,1,1,1,6,"Amundsen",6
"13",6,"e",660,151,670,209,NA,1,1,1,1,7,"Amundsen",7
"15",7,"n",670,151,680,209,NA,1,1,1,1,8,"Amundsen",8
"17",8,"",NA,680,151,690,NA,1,1,2,1,9,"of",0
"19",9,"o",690,151,700,209,NA,1,1,2,1,10,"of",1
"21",10,"f",700,151,710,209,NA,1,1,2,1,11,"of",2
"23",11,"",710,151,720,209,1,1,1,3,2,12,"Norway",0
"25",12,"N",720,151,730,209,NA,1,1,3,2,13,"Norway",1
"27",13,"o",730,151,740,209,NA,1,1,3,2,14,"Norway",2
"29",14,"r",740,151,750,209,NA,1,1,3,2,15,"Norway",3
"31",15,"w",750,151,760,209,NA,1,1,3,2,16,"Norway",4
"33",16,"a",760,151,770,209,NA,1,1,3,2,17,"Norway",5
"35",17,"y",770,151,780,209,NA,1,1,3,2,18,"Norway",6
"37",18,"",780,151,790,209,1,1,1,4,3,19,"was",0
"39",19,"w",790,151,800,209,NA,1,1,4,3,20,"was",1
"41",20,"a",800,151,810,209,NA,1,1,4,3,21,"was",2
"43",21,"s",810,151,820,209,NA,1,1,4,3,22,"was",3
"45",22,"",820,151,830,209,1,1,1,5,4,23,"one",0
"47",23,"o",830,151,840,209,NA,1,1,5,4,24,"one",1
"49",24,"n",840,151,850,209,NA,1,1,5,4,25,"one",2
"51",25,"e",850,151,860,209,NA,1,1,5,4,26,"one",3
"53",26,"",860,151,870,209,1,1,1,6,5,27,"of",0
"55",27,"o",870,151,880,209,NA,1,1,6,5,28,"of",1
"57",28,"f",880,151,890,209,NA,1,1,6,5,29,"of",2
"59",29,"",890,151,900,209,1,1,1,7,6,30,"the",0
"61",30,"t",900,151,910,209,NA,1,1,7,6,31,"the",1
"63",31,"h",910,151,920,209,NA,1,1,7,6,32,"the",2
"65",32,"e",920,151,930,209,NA,1,1,7,6,33,"the",3
"67",33,"",930,151,940,209,1,1,1,8,7,34,"great",0
"69",34,"g",940,151,950,209,NA,1,1,8,7,35,"great",1
"71",35,"r",950,151,960,209,NA,1,1,8,7,36,"great",2
"73",36,"e",960,151,970,209,NA,1,1,8,7,37,"great",3
"75",37,"a",970,151,980,209,NA,1,1,8,7,38,"great",4
"77",38,"t",980,151,990,209,NA,1,1,8,7,39,"great",5
"79",39,"",990,151,1000,209,1,1,1,9,8,40,"explorers.",0
"81",40,"e",1000,151,1010,209,NA,1,1,9,8,41,"explorers.",1
"83",41,"x",1010,151,1020,209,NA,1,1,9,8,42,"explorers.",2
"85",42,"p",1020,151,1030,209,NA,1,1,9,8,43,"explorers.",3
"87",43,"l",1030,151,1040,209,NA,1,1,9,8,44,"explorers.",4
"89",44,"o",1040,151,1050,209,NA,1,1,9,8,45,"explorers.",5
"91",45,"r",1050,151,1060,209,NA,1,1,9,8,46,"explorers.",6
"93",46,"e",1060,151,1070,209,NA,1,1,9,8,47,"explorers.",7
"95",47,"r",1070,151,1080,209,NA,1,1,9,8,48,"explorers.",8
"97",48,"s",1080,151,1090,209,2,1,1,9,8,49,"explorers.",9
"99",49,".",1090,151,1100,209,NA,1,2,9,1,1,"explorers.",10
"101",51,"H",600,219,610,277,NA,2,2,1,1,2,"He",1
"103",52,"e",610,219,620,277,NA,2,2,1,1,3,"He",2
"105",53,"",620,219,630,277,1,2,2,2,2,4,"was",0
"107",54,"w",630,219,640,277,NA,2,2,2,2,5,"was",1
"109",55,"a",640,219,650,277,NA,2,2,2,2,6,"was",2
"111",56,"s",650,219,660,277,NA,2,2,2,2,7,"was",3
"113",57,"",660,219,670,277,1,2,2,3,3,8,"noted",0
"115",58,"n",670,219,680,277,NA,2,2,3,3,9,"noted",1
