"","char","letter","x1","y1","x2","y2","space","sent","line","word","word_line","line_char","wordID","char_word"
"1",0,"H",600,151,610,209,NA,1,1,1,1,1,"Henry",1
"3",1,"e",610,151,620,209,NA,1,1,1,1,2,"Henry",2
"5",2,"n",620,151,630,209,NA,1,1,1,1,3,"Henry",3
"7",3,"r",630,151,640,209,NA,1,1,1,1,4,"Henry",4
"9",4,"y",640,151,650,209,NA,1,1,1,1,5,"Henry",5
"11",5,"",NA,650,151,660,NA,1,1,2,1,6,"David",0
"13",6,"D",660,151,670,209,NA,1,1,2,1,7,"David",1
"15",7,"a",670,151,680,209,NA,1,1,2,1,8,"David",2
"17",8,"v",680,151,690,209,NA,1,1,2,1,9,"David",3
"19",9,"i",690,151,700,209,NA,1,1,2,1,10,"David",4
"21",10,"d",700,151,710,209,NA,1,1,2,1,11,"David",5
"23",11,"",710,151,720,209,1,1,1,3,2,12,"Thoreau,",0
"25",12,"T",720,151,730,209,NA,1,1,3,2,13,"Thoreau,",1
"27",13,"h",730,151,740,209,NA,1,1,3,2,14,"Thoreau,",2
"29",14,"o",740,151,750,209,NA,1,1,3,2,15,"Thoreau,",3
"31",15,"r",750,151,760,209,NA,1,1,3,2,16,"Thoreau,",4
"33",16,"e",760,151,770,209,NA,1,1,3,2,17,"Thoreau,",5
"35",17,"a",770,151,780,209,NA,1,1,3,2,18,"Thoreau,",6
"37",18,"u",780,151,790,209,NA,1,1,3,2,19,"Thoreau,",7
"39",19,",",790,151,800,209,NA,1,1,3,2,20,"Thoreau,",8
"41",20,"",800,151,810,209,1,1,1,4,3,21,"a",0
"43",21,"a",810,151,820,209,NA,1,1,4,3,22,"a",1
"45",22,"",820,151,830,209,1,1,1,5,4,23,"renowned",0
"47",23,"r",830,151,840,209,NA,1,1,5,4,24,"renowned",1
"49",24,"e",840,151,850,209,NA,1,1,5,4,25,"renowned",2
"51",25,"n",850,151,860,209,NA,1,1,5,4,26,"renowned",3
"53",26,"o",860,151,870,209,NA,1,1,5,4,27,"renowned",4
"55",27,"w",870,151,880,209,NA,1,1,5,4,28,"renowned",5
"57",28,"n",880,151,890,209,NA,1,1,5,4,29,"renowned",6
"59",29,"e",890,151,900,209,NA,1,1,5,4,30,"renowned",7
"61",30,"d",900,151,910,209,NA,1,1,5,4,31,"renowned",8
"63",31,"",910,151,920,209,1,1,1,6,5,32,"author,",0
"65",32,"a",920,151,930,209,NA,1,1,6,5,33,"author,",1
"67",33,"u",930,151,940,209,NA,1,1,6,5,34,"author,",2
"69",34,"t",940,151,950,209,NA,1,1,6,5,35,"author,",3
"71",35,"h",950,151,960,209,NA,1,1,6,5,36,"author,",4
"73",36,"o",960,151,970,209,NA,1,1,6,5,37,"author,",5
"75",37,"r",970,151,980,209,NA,1,1,6,5,38,"author,",6
"77",38,",",980,151,990,209,NA,1,1,6,5,39,"author,",7
"79",39,"",990,151,1000,209,1,1,1,7,6,40,"was",0
"81",40,"w",1000,151,1010,209,NA,1,1,7,6,41,"was",1
"83",41,"a",1010,151,1020,209,NA,1,1,7,6,42,"was",2
"85",42,"s",1020,151,1030,209,NA,1,1,7,6,43,"was",3
"87",43,"",1030,151,1040,209,1,1,1,8,7,44,"bor",0
"89",44,"b",1040,151,1050,209,NA,1,1,8,7,45,"bor",1
"91",45,"o",1050,151,1060,209,NA,1,1,8,7,46,"bor",2
"93",46,"r",1060,151,1070,209,2,1,1,8,7,47,"bor",3
"95",47,"n",1070,151,1080,209,NA,1,2,9,1,1,"nin",1
"97",49,"i",600,219,610,277,NA,1,2,9,1,2,"nin",2
"99",50,"n",610,219,620,277,NA,1,2,9,1,3,"nin",3
"101",51,"",620,219,630,277,1,1,2,10,2,4,"1817.",0
"103",52,"1",630,219,640,277,NA,1,2,10,2,5,"1817.",1
"105",53,"8",640,219,650,277,NA,1,2,10,2,6,"1817.",2
"107",54,"1",650,219,660,277,NA,1,2,10,2,7,"1817.",3
"109",55,"7",660,219,670,277,NA,1,2,10,2,8,"1817.",4
"111",56,".",670,219,680,277,NA,1,2,10,2,9,"1817.",5
"113",57,"",680,219,690,277,1,2,2,1,3,10,"He",0
"115",58,"H",690,219,700,277,NA,2,2,1,3,11,"He",1
"117",59,"e",700,219,710,277,NA,2,2,1,3,12,"He",2
"119",60,"",710,219,720,277,1,2,2,2,4,13,"is",0
"121",61,"i",720,219,730,277,NA,2,2,2,4,14,"is",1
"123",62,"s",730,219,740,277,NA,2,2,2,4,15,"is",2
"125",63,"",740,219,750,277,1,2,2,3,5,16,"noted",0
"127",64,"n",750,219,760,277,NA,2,2,3,5,17,"noted",1
"129",65,"o",760,219,770,277,NA,2,2,3,5,18,"noted",2
"131",66,"t",770,219,780,277,NA,2,2,3,5,19,"noted",3
"133",67,"e",780,219,790,277,NA,2,2,3,5,20,"noted",4
"135",68,"d",790,219,800,277,NA,2,2,3,5,21,"noted",5
"137",69,"",800,219,810,277,1,2,2,4,6,22,"for",0
"139",70,"f",810,219,820,277,NA,2,2,4,6,23,"for",1
"141",71,"o",820,219,830,277,NA,2,2,4,6,24,"for",2
"143",72,"r",830,219,840,277,NA,2,2,4,6,25,"for",3
"145",73,"",840,219,850,277,1,2,2,5,7,26,"his",0
"147",74,"h",850,219,860,277,NA,2,2,5,7,27,"his",1
"149",75,"i",860,219,870,277,NA,2,2,5,7,28,"his",2
"151",76,"s",870,219,880,277,NA,2,2,5,7,29,"his",3
"153",77,"",880,219,890,277,1,2,2,6,8,30,"sharp",0
"155",78,"s",890,219,900,277,NA,2,2,6,8,31,"sharp",1
"157",79,"h",900,219,910,277,NA,2,2,6,8,32,"sharp",2
"159",80,"a",910,219,920,277,NA,2,2,6,8,33,"sharp",3
"161",81,"r",920,219,930,277,NA,2,2,6,8,34,"sharp",4
"163",82,"p",930,219,940,277,NA,2,2,6,8,35,"sharp",5
"165",83,"",940,219,950,277,1,2,2,7,9,36,"attacks",0
"167",84,"a",950,219,960,277,NA,2,2,7,9,37,"attacks",1
"169",85,"t",960,219,970,277,NA,2,2,7,9,38,"attacks",2
"171",86,"t",970,219,980,277,NA,2,2,7,9,39,"attacks",3
"173",87,"a",980,219,990,277,NA,2,2,7,9,40,"attacks",4
"175",88,"c",990,219,1000,277,NA,2,2,7,9,41,"attacks",5
"177",89,"k",1000,219,1010,277,NA,2,2,7,9,42,"attacks",6
"179",90,"s",1010,219,1020,277,NA,2,2,7,9,43,"attacks",7
"181",91,"",1020,219,1030,277,1,2,2,8,10,44,"on",0
"183",92,"o",1030,219,1040,277,NA,2,2,8,10,45,"on",1
"185",93,"n",1040,219,1050,277,NA,2,2,8,10,46,"on",2
"187",94,"",1050,219,1060,277,1,2,2,9,11,47,"social",0
"189",95,"s",1060,219,1070,277,NA,2,2,9,11,48,"social",1
"191",96,"o",1070,219,1080,277,NA,2,2,9,11,49,"social",2
"193",97,"c",1080,219,1090,277,NA,2,2,9,11,50,"social",3
"195",98,"i",1090,219,1100,277,NA,2,2,9,11,51,"social",4
"197",99,"a",1100,219,1110,277,NA,2,2,9,11,52,"social",5
"199",100,"l",1110,219,1120,277,NA,2,2,9,11,53,"social",6
"201",101,"",1120,219,1130,277,1,2,2,10,12,54,"institution",0
"203",102,"i",1130,219,1140,277,NA,2,2,10,12,55,"institution",1
"205",103,"n",1140,219,1150,277,NA,2,2,10,12,56,"institution",2
"207",104,"s",1150,219,1160,277,NA,2,2,10,12,57,"institution",3
"209",105,"t",1160,219,1170,277,NA,2,2,10,12,58,"institution",4
"211",106,"i",1170,219,1180,277,NA,2,2,10,12,59,"institution",5
"213",107,"t",1180,219,1190,277,NA,2,2,10,12,60,"institution",6
"215",108,"u",1190,219,1200,277,NA,2,2,10,12,61,"institution",7
"217",109,"t",1200,219,1210,277,NA,2,2,10,12,62,"institution",8
"219",110,"i",1210,219,1220,277,NA,2,2,10,12,63,"institution",9
"221",111,"o",1220,219,1230,277,NA,2,2,10,12,64,"institution",10
"223",112,"n",1230,219,1240,277,2,2,2,10,12,65,"institution",11
"225",113,"s",1240,219,1250,277,NA,2,3,11,1,1,"sand",1
"227",115,"a",600,287,610,345,NA,2,3,11,1,2,"sand",2
"229",116,"n",610,287,620,345,NA,2,3,11,1,3,"sand",3
"231",117,"d",620,287,630,345,NA,2,3,11,1,4,"sand",4
"233",118,"",630,287,640,345,1,2,3,12,2,5,"for",0
"235",119,"f",640,287,650,345,NA,2,3,12,2,6,"for",1
"237",120,"o",650,287,660,345,NA,2,3,12,2,7,"for",2
"239",121,"r",660,287,670,345,NA,2,3,12,2,8,"for",3
"241",122,"",670,287,680,345,1,2,3,13,3,9,"his",0
"243",123,"h",680,287,690,345,NA,2,3,13,3,10,"his",1
"245",124,"i",690,287,700,345,NA,2,3,13,3,11,"his",2
"247",125,"s",700,287,710,345,NA,2,3,13,3,12,"his",3
"249",126,"",710,287,720,345,1,2,3,14,4,13,"deep",0
