"","char","letter","x1","y1","x2","y2","space","sent","line","word","line_char"
"1","0","S",51,151,62,208,NA,1,1,1,1
"3","1","o",62,151,73,208,NA,1,1,1,2
"5","2","m",73,151,84,208,NA,1,1,1,3
"7","3","e",84,151,95,208,NA,1,1,1,4
"9","4","",95,151,106,208,1,1,1,2,5
"11","5","o",106,151,117,208,NA,1,1,2,6
"13","6","f",117,151,128,208,NA,1,1,2,7
"15","7","",128,151,139,208,1,1,1,3,8
"17","8","M",139,151,150,208,NA,1,1,3,9
"19","9","a",150,151,161,208,NA,1,1,3,10
"21","10","r",161,151,172,208,NA,1,1,3,11
"23","11","y",172,151,183,208,NA,1,1,3,12
"25","12","'",183,151,194,208,NA,1,1,3,13
"27","13","s",194,151,205,208,NA,1,1,3,14
"29","14","",205,151,216,208,1,1,1,4,15
"31","15","b",216,151,227,208,NA,1,1,4,16
"33","16","e",227,151,238,208,NA,1,1,4,17
"35","17","s",238,151,249,208,NA,1,1,4,18
"37","18","t",249,151,260,208,NA,1,1,4,19
"39","19","",260,151,271,208,1,1,1,5,20
"41","20","c",271,151,282,208,NA,1,1,5,21
"43","21","h",282,151,293,208,NA,1,1,5,22
"45","22","i",293,151,304,208,NA,1,1,5,23
"47","23","l",304,151,315,208,NA,1,1,5,24
"49","24","d",315,151,326,208,NA,1,1,5,25
"51","25","h",326,151,337,208,NA,1,1,5,26
"53","26","o",337,151,348,208,NA,1,1,5,27
"55","27","o",348,151,359,208,NA,1,1,5,28
"57","28","d",359,151,370,208,NA,1,1,5,29
"59","29","",370,151,381,208,1,1,1,6,30
"61","30","m",381,151,392,208,NA,1,1,6,31
"63","31","e",392,151,403,208,NA,1,1,6,32
"65","32","m",403,151,414,208,NA,1,1,6,33
"67","33","o",414,151,425,208,NA,1,1,6,34
"69","34","r",425,151,436,208,NA,1,1,6,35
"71","35","i",436,151,447,208,NA,1,1,6,36
"73","36","e",447,151,458,208,NA,1,1,6,37
"75","37","s",458,151,469,208,NA,1,1,6,38
"77","38","",469,151,480,208,1,1,1,7,39
"79","39","w",480,151,491,208,NA,1,1,7,40
"81","40","e",491,151,502,208,NA,1,1,7,41
"83","41","r",502,151,513,208,NA,1,1,7,42
"85","42","e",513,151,524,208,NA,1,1,7,43
"87","43","",524,151,535,208,1,1,1,8,44
"89","44","f",535,151,546,208,NA,1,1,8,45
"91","45","r",546,151,557,208,NA,1,1,8,46
"93","46","o",557,151,568,208,NA,1,1,8,47
"95","47","m",568,151,579,208,NA,1,1,8,48
"97","48","",579,151,590,208,1,1,1,9,49
"99","49","v",590,151,601,208,NA,1,1,9,50
"101","50","i",601,151,612,208,NA,1,1,9,51
"103","51","s",612,151,623,208,NA,1,1,9,52
"105","52","i",623,151,634,208,NA,1,1,9,53
"107","53","t",634,151,645,208,NA,1,1,9,54
"109","54","i",645,151,656,208,NA,1,1,9,55
"111","55","n",656,151,667,208,NA,1,1,9,56
"113","56","g",667,151,678,208,NA,1,1,9,57
"115","57","",678,151,689,208,1,1,1,10,58
"117","58","h",689,151,700,208,NA,1,1,10,59
"119","59","e",700,151,711,208,NA,1,1,10,60
"121","60","r",711,151,722,208,NA,1,1,10,61
"123","61","",722,151,733,208,1,1,1,11,62
"125","62","g",733,151,744,208,NA,1,1,11,63
"127","63","r",744,151,755,208,NA,1,1,11,64
"129","64","a",755,151,766,208,NA,1,1,11,65
"131","65","n",766,151,777,208,NA,1,1,11,66
"133","66","d",777,151,788,208,NA,1,1,11,67
"135","67","p",788,151,799,208,NA,1,1,11,68
"137","68","a",799,151,810,208,NA,1,1,11,69
"139","69","r",810,151,821,208,NA,1,1,11,70
"141","70","e",821,151,832,208,NA,1,1,11,71
"143","71","n",832,151,843,208,NA,1,1,11,72
"145","72","t",843,151,854,208,NA,1,1,11,73
"147","73","s",854,151,865,208,NA,1,1,11,74
"149","74","'",865,151,876,208,NA,1,1,11,75
"151","75","",876,151,887,208,1,1,1,12,76
"153","76","f",887,151,898,208,NA,1,1,12,77
"155","77","a",898,151,909,208,NA,1,1,12,78
"157","78","r",909,151,920,208,NA,1,1,12,79
"159","79","m",920,151,931,208,NA,1,1,12,80
"161","80",".",931,151,942,208,2,1,1,12,81
"163","82","T",51,218,62,275,NA,2,2,1,1
"165","83","h",62,218,73,275,NA,2,2,1,2
"167","84","e",73,218,84,275,NA,2,2,1,3
"169","85","y",84,218,95,275,NA,2,2,1,4
"171","86","",95,218,106,275,1,2,2,2,5
"173","87","h",106,218,117,275,NA,2,2,2,6
"175","88","a",117,218,128,275,NA,2,2,2,7
"177","89","d",128,218,139,275,NA,2,2,2,8
"179","90","",139,218,150,275,1,2,2,3,9
"181","91","a",150,218,161,275,NA,2,2,3,10
"183","92","",161,218,172,275,1,2,2,4,11
"185","93","b",172,218,183,275,NA,2,2,4,12
"187","94","i",183,218,194,275,NA,2,2,4,13
"189","95","g",194,218,205,275,NA,2,2,4,14
"191","96","",205,218,216,275,1,2,2,5,15
"193","97","p",216,218,227,275,NA,2,2,5,16
"195","98","i",227,218,238,275,NA,2,2,5,17
"197","99","e",238,218,249,275,NA,2,2,5,18
"199","100","c",249,218,260,275,NA,2,2,5,19
"201","101","e",260,218,271,275,NA,2,2,5,20
"203","102","",271,218,282,275,1,2,2,6,21
"205","103","o",282,218,293,275,NA,2,2,6,22
"207","104","f",293,218,304,275,NA,2,2,6,23
"209","105","",304,218,315,275,1,2,2,7,24
"211","106","l",315,218,326,275,NA,2,2,7,25
"213","107","a",326,218,337,275,NA,2,2,7,26
"215","108","n",337,218,348,275,NA,2,2,7,27
"217","109","d",348,218,359,275,NA,2,2,7,28
"219","110","",359,218,370,275,1,2,2,8,29
"221","111","t",370,218,381,275,NA,2,2,8,30
"223","112","h",381,218,392,275,NA,2,2,8,31
"225","113","a",392,218,403,275,NA,2,2,8,32
"227","114","t",403,218,414,275,NA,2,2,8,33
"229","115","",414,218,425,275,1,2,2,9,34
"231","116","t",425,218,436,275,NA,2,2,9,35
"233","117","h",436,218,447,275,NA,2,2,9,36
"235","118","e",447,218,458,275,NA,2,2,9,37
"237","119","y",458,218,469,275,NA,2,2,9,38
"239","120","",469,218,480,275,1,2,2,10,39
"241","121","u",480,218,491,275,NA,2,2,10,40
"243","122","s",491,218,502,275,NA,2,2,10,41
"245","123","e",502,218,513,275,NA,2,2,10,42
"247","124","d",513,218,524,275,NA,2,2,10,43
"249","125","",524,218,535,275,1,2,2,11,44
"251","126","f",535,218,546,275,NA,2,2,11,45
"253","127","o",546,218,557,275,NA,2,2,11,46
"255","128","r",557,218,568,275,NA,2,2,11,47
"257","129","",568,218,579,275,1,2,2,12,48
"259","130","g",579,218,590,275,NA,2,2,12,49
"261","131","r",590,218,601,275,NA,2,2,12,50
"263","132","o",601,218,612,275,NA,2,2,12,51
"265","133","w",612,218,623,275,NA,2,2,12,52
"267","134","i",623,218,634,275,NA,2,2,12,53
"269","135","n",634,218,645,275,NA,2,2,12,54
"271","136","g",645,218,656,275,NA,2,2,12,55
"273","137","",656,218,667,275,1,2,2,13,56
"275","138","a",667,218,678,275,NA,2,2,13,57
"277","139","",678,218,689,275,1,2,2,14,58
"279","140","v",689,218,700,275,NA,2,2,14,59
"281","141","a",700,218,711,275,NA,2,2,14,60
"283","142","r",711,218,722,275,NA,2,2,14,61
"285","143","i",722,218,733,275,NA,2,2,14,62
"287","144","e",733,218,744,275,NA,2,2,14,63
"289","145","t",744,218,755,275,NA,2,2,14,64
"291","146","y",755,218,766,275,NA,2,2,14,65
"293","147","",766,218,777,275,1,2,2,15,66
"295","148","o",777,218,788,275,NA,2,2,15,67
"297","149","f",788,218,799,275,NA,2,2,15,68
"299","150","",799,218,810,275,1,2,2,16,69
"301","151","v",810,218,821,275,NA,2,2,16,70
"303","152","e",821,218,832,275,NA,2,2,16,71
"305","153","g",832,218,843,275,NA,2,2,16,72
"307","154","e",843,218,854,275,NA,2,2,16,73
"309","155","t",854,218,865,275,NA,2,2,16,74
"311","156","a",865,218,876,275,NA,2,2,16,75
"313","157","b",876,218,887,275,NA,2,2,16,76
"315","158","l",887,218,898,275,NA,2,2,16,77
"317","159","e",898,218,909,275,NA,2,2,16,78
"319","160","s",909,218,920,275,NA,2,2,16,79
"321","161","",920,218,931,275,1,2,2,17,80
"323","162","a",931,218,942,275,NA,2,2,17,81
"325","163","n",942,218,953,275,NA,2,2,17,82
"327","164","d",953,218,964,275,2,2,2,17,83
"329","166","f",51,285,62,342,NA,2,3,18,1
"331","167","o",62,285,73,342,NA,2,3,18,2
"333","168","r",73,285,84,342,NA,2,3,18,3
"335","169","",84,285,95,342,1,2,3,19,4
"337","170","t",95,285,106,342,NA,2,3,19,5
"339","171","a",106,285,117,342,NA,2,3,19,6
"341","172","k",117,285,128,342,NA,2,3,19,7
"343","173","i",128,285,139,342,NA,2,3,19,8
"345","174","n",139,285,150,342,NA,2,3,19,9
"347","175","g",150,285,161,342,NA,2,3,19,10
"349","176","",161,285,172,342,1,2,3,20,11
"351","177","c",172,285,183,342,NA,2,3,20,12
"353","178","a",183,285,194,342,NA,2,3,20,13
"355","179","r",194,285,205,342,NA,2,3,20,14
"357","180","e",205,285,216,342,NA,2,3,20,15
"359","181","",216,285,227,342,1,2,3,21,16
"361","182","o",227,285,238,342,NA,2,3,21,17
"363","183","f",238,285,249,342,NA,2,3,21,18
"365","184","",249,285,260,342,1,2,3,22,19
"367","185","t",260,285,271,342,NA,2,3,22,20
"369","186","h",271,285,282,342,NA,2,3,22,21
"371","187","e",282,285,293,342,NA,2,3,22,22
"373","188","",293,285,304,342,1,2,3,23,23
"375","189","c",304,285,315,342,NA,2,3,23,24
"377","190","o",315,285,326,342,NA,2,3,23,25
"379","191","w",326,285,337,342,NA,2,3,23,26
"381","192","s",337,285,348,342,NA,2,3,23,27
"383","193",".",348,285,359,342,NA,2,3,23,28
"385","194","",359,285,370,342,1,3,3,1,29
"387","195","M",370,285,381,342,NA,3,3,1,30
"389","196","a",381,285,392,342,NA,3,3,1,31
"391","197","r",392,285,403,342,NA,3,3,1,32
"393","198","y",403,285,414,342,NA,3,3,1,33
"395","199","'",414,285,425,342,NA,3,3,1,34
"397","200","s",425,285,436,342,NA,3,3,1,35
"399","201","",436,285,447,342,1,3,3,2,36
"401","202","f",447,285,458,342,NA,3,3,2,37
"403","203","a",458,285,469,342,NA,3,3,2,38
"405","204","v",469,285,480,342,NA,3,3,2,39
"407","205","o",480,285,491,342,NA,3,3,2,40
"409","206","u",491,285,502,342,NA,3,3,2,41
"411","207","r",502,285,513,342,NA,3,3,2,42
"413","208","i",513,285,524,342,NA,3,3,2,43
"415","209","t",524,285,535,342,NA,3,3,2,44
"417","210","e",535,285,546,342,NA,3,3,2,45
"419","211","",546,285,557,342,1,3,3,3,46
"421","212","s",557,285,568,342,NA,3,3,3,47
"423","213","p",568,285,579,342,NA,3,3,3,48
"425","214","o",579,285,590,342,NA,3,3,3,49
"427","215","t",590,285,601,342,NA,3,3,3,50
"429","216","",601,285,612,342,1,3,3,4,51
